	('chr10', '6081532')	('chr2', '24469940')	('chr6', '32636595')	('chr10', '6348488')	('chr16', '11086016')	('chr15', '78943104')	('chr12', '56088396')	('chr22', '37195278')	('chr6', '90248512')	('chr16', '11270222')	('chr2', '203874196')	('chr1', '113761186')	('chr18', '12779948')	('chr12', '112049014')
E065	0	0	1	1	0	0	0	0	0	0	0	0	0	0
E067	2	0	1	1	0	0	0	0	0	0	0	0	0	0
E066	0	2	1	0	0	2	0	0	2	0	2	0	0	0
E061	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E063	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E062	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E069	2	0	1	2	0	0	0	0	0	0	0	0	0	0
E068	2	0	0	2	0	0	0	0	0	0	0	0	0	0
E010	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E011	1	0	1	1	0	0	0	0	0	0	0	0	0	0
E012	1	0	0	1	0	0	0	2	0	0	0	0	0	0
E013	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E014	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E015	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E017	1	0	0	1	0	0	0	0	1	0	0	0	0	0
E018	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E098	2	0	1	1	0	0	0	0	2	0	0	0	0	0
E099	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E090	2	0	1	2	0	0	0	0	0	0	0	0	0	0
E091	0	0	0	0	0	0	0	0	0	0	0	1	0	0
E092	0	0	1	0	0	0	0	0	2	0	0	0	0	0
E093	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E094	1	1	1	1	0	0	0	0	2	0	2	0	0	0
E095	1	0	1	2	0	0	0	0	0	0	0	0	0	0
E096	0	0	1	0	0	0	0	0	2	0	0	0	0	0
E097	1	0	1	2	0	0	0	0	0	0	0	0	0	0
E003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E006	0	0	1	0	0	0	0	0	0	0	0	0	2	0
E005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E004	1	0	0	0	0	0	0	0	0	0	0	0	0	0
E009	0	0	0	1	0	0	0	2	0	0	0	0	0	0
E008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E128	0	0	0	0	0	0	0	0	2	0	0	0	0	0
E129	0	0	0	1	0	0	0	0	0	0	0	0	0	0
E124	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E125	0	0	0	1	0	0	0	0	0	0	0	0	0	0
E126	0	1	0	0	0	0	0	0	0	0	0	0	0	0
E127	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E120	0	0	1	2	0	0	0	0	0	0	0	0	0	0
E121	2	0	1	2	0	1	0	0	0	0	0	0	0	0
E122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E123	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E089	0	0	1	2	0	0	0	0	0	0	0	0	0	0
