	('chr10', '6081532')	('chr2', '24469940')	('chr6', '32636595')	('chr10', '6348488')	('chr16', '11086016')	('chr15', '78943104')	('chr12', '56088396')	('chr22', '37195278')	('chr6', '90248512')	('chr16', '11270222')	('chr2', '203874196')	('chr1', '113761186')	('chr18', '12779948')	('chr12', '112049014')
E065	15.0	14.0	5.0	5.0	15.0	15.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E067	7.0	14.0	5.0	5.0	15.0	14.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E066	15.0	7.0	5.0	15.0	15.0	7.0	15.0	14.0	7.0	15.0	7.0	15.0	9.0	15.0
E061	15.0	15.0	4.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E063	15.0	15.0	4.0	15.0	15.0	14.0	15.0	14.0	14.0	15.0	15.0	15.0	9.0	15.0
E062	14.0	15.0	4.0	14.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E069	7.0	14.0	5.0	7.0	15.0	15.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E068	7.0	14.0	14.0	7.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E010	9.0	15.0	5.0	15.0	15.0	13.0	15.0	14.0	15.0	15.0	15.0	15.0	14.0	15.0
E011	5.0	14.0	5.0	5.0	15.0	15.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E012	5.0	15.0	15.0	5.0	15.0	15.0	15.0	7.0	15.0	15.0	15.0	15.0	15.0	15.0
E013	15.0	15.0	5.0	15.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E014	15.0	15.0	9.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E015	15.0	15.0	8.0	15.0	15.0	14.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E016	15.0	15.0	9.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E017	5.0	15.0	9.0	5.0	15.0	13.0	15.0	13.0	12.0	15.0	15.0	15.0	15.0	15.0
E018	15.0	15.0	8.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0	10.0	15.0
E019	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	13.0	15.0
E098	7.0	15.0	5.0	5.0	15.0	15.0	15.0	15.0	7.0	15.0	15.0	15.0	9.0	15.0
E099	15.0	15.0	5.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E090	7.0	14.0	8.0	7.0	15.0	14.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E091	15.0	15.0	14.0	14.0	15.0	14.0	15.0	14.0	14.0	15.0	15.0	5.0	13.0	15.0
E092	15.0	14.0	8.0	15.0	15.0	14.0	15.0	13.0	7.0	15.0	14.0	15.0	15.0	15.0
E093	15.0	15.0	9.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E094	5.0	5.0	4.0	5.0	15.0	15.0	15.0	15.0	7.0	15.0	7.0	15.0	15.0	15.0
E095	5.0	14.0	5.0	7.0	15.0	15.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E096	15.0	15.0	4.0	15.0	15.0	15.0	15.0	14.0	7.0	15.0	15.0	15.0	9.0	15.0
E097	5.0	15.0	5.0	7.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E003	15.0	15.0	9.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	9.0	15.0
E002	15.0	15.0	14.0	15.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	13.0	15.0
E001	9.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0	13.0	15.0
E007	15.0	15.0	9.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E006	15.0	14.0	5.0	15.0	15.0	14.0	15.0	14.0	14.0	15.0	14.0	15.0	7.0	15.0
E005	15.0	15.0	9.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	9.0	15.0
E004	5.0	15.0	9.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	9.0	15.0
E009	15.0	14.0	15.0	5.0	15.0	13.0	15.0	7.0	15.0	15.0	14.0	15.0	14.0	15.0
E008	15.0	15.0	9.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E128	15.0	15.0	15.0	15.0	15.0	14.0	15.0	14.0	7.0	15.0	15.0	15.0	9.0	15.0
E129	15.0	15.0	15.0	5.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E124	15.0	15.0	4.0	14.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	9.0	15.0
E125	15.0	15.0	15.0	5.0	15.0	14.0	15.0	13.0	15.0	15.0	15.0	15.0	15.0	15.0
E126	15.0	4.0	15.0	15.0	15.0	14.0	15.0	14.0	13.0	15.0	15.0	15.0	15.0	15.0
E127	15.0	15.0	8.0	15.0	15.0	14.0	15.0	14.0	14.0	15.0	15.0	15.0	14.0	15.0
E120	15.0	15.0	5.0	7.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E121	7.0	15.0	5.0	7.0	15.0	5.0	15.0	13.0	14.0	15.0	15.0	15.0	14.0	15.0
E122	15.0	15.0	15.0	15.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E123	14.0	15.0	5.0	14.0	15.0	14.0	15.0	14.0	14.0	15.0	15.0	15.0	14.0	15.0
E089	15.0	14.0	4.0	7.0	15.0	14.0	15.0	13.0	14.0	15.0	14.0	15.0	9.0	15.0
E088	15.0	15.0	15.0	7.0	15.0	15.0	15.0	14.0	7.0	15.0	7.0	15.0	9.0	15.0
E083	7.0	15.0	5.0	7.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E082	7.0	15.0	8.0	5.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	9.0	15.0
E081	7.0	15.0	5.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	9.0	15.0
E080	15.0	15.0	4.0	15.0	15.0	7.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E087	7.0	5.0	14.0	15.0	14.0	15.0	15.0	14.0	14.0	14.0	15.0	15.0	15.0	15.0
E086	7.0	15.0	5.0	5.0	15.0	15.0	15.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0
E085	5.0	7.0	5.0	4.0	15.0	14.0	15.0	14.0	14.0	15.0	7.0	15.0	15.0	15.0
E084	15.0	15.0	4.0	5.0	15.0	14.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E038	15.0	7.0	5.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E039	15.0	7.0	15.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E036	15.0	15.0	4.0	15.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E037	15.0	7.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E034	14.0	7.0	15.0	14.0	15.0	14.0	15.0	13.0	14.0	15.0	14.0	15.0	15.0	15.0
E035	15.0	15.0	4.0	14.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	9.0	15.0
E032	15.0	14.0	4.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E033	15.0	14.0	4.0	15.0	15.0	15.0	15.0	14.0	14.0	15.0	14.0	15.0	14.0	15.0
E030	15.0	15.0	4.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	9.0	15.0
E031	15.0	7.0	4.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E029	15.0	15.0	4.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E028	14.0	5.0	14.0	14.0	15.0	15.0	15.0	14.0	15.0	15.0	5.0	15.0	13.0	15.0
E021	15.0	15.0	5.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E020	15.0	15.0	15.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	13.0	15.0
E023	15.0	14.0	13.0	7.0	15.0	14.0	15.0	13.0	14.0	15.0	15.0	15.0	15.0	15.0
E022	15.0	15.0	9.0	15.0	15.0	15.0	15.0	5.0	15.0	15.0	15.0	15.0	8.0	15.0
